"Carimbo de data/hora","Qual é a sua idade?","Qual o seu gênero?","Qual a sua escolaridade?","Durante o tempo em que cursou o ensino fundamental, sua escola oferecia aulas de educação artística?","Você gostava das aulas de educação artística no ensino fundamental?","Durante o tempo em que cursou o ensino médio, sua escola oferecia aulas de educação artística?","Você gostava das aulas de educação artística no ensino médio?","De modo geral, que importância a arte tem na sua vida? O que ela representa para você?","Você acha que a educação artística é importante na formação de um indivíduo?","Supondo que o acesso à tecnologia fosse democratizado, você acha que os futuros alunos se beneficiariam da integração da tecnologia no modelo convencional de educação?","Você acha que trazer tecnologia para aulas de educação artística fariam os alunos se interessarem mais nos assuntos abordados?","Agradecemos pela sua contribuição! Caso tenha alguma crítica, observação, reclamação, ou qualquer coisa que deseja nos dizer, sinta-se a vontade para nos escrever."
"2021/04/29 8:54:17 AM GMT-3","22 a 29.","Masculino.","Superior completo.","Sim.","Sim.","Sim.","Sim.","Uma forma de me distrair e aliviar da rotina cotidiana.","Sim, essencialmente importante.","Sim.","Sim.",""
"2021/04/29 8:56:03 AM GMT-3","22 a 29.","Feminino.","Superior incompleto.","Sim.","Sim.","Sim.","Sim.","Uma forma de me distrair e aliviar da rotina cotidiana.;Um canal através do qual posso conhecer a forma que outras pessoas enxergam o mundo.","Sim, essencialmente importante.","Sim.","Sim.",""
"2021/04/29 8:59:12 AM GMT-3","30 a 39.","Masculino.","Superior completo.","Sim.","Sim.","Sim.","Sim.","Uma forma de me distrair e aliviar da rotina cotidiana.;Um canal através do qual posso conhecer a forma que outras pessoas enxergam o mundo.","Sim, essencialmente importante.","Sim.","Sim.",""
"2021/04/29 9:03:32 AM GMT-3","40 a 49.","Masculino.","Superior incompleto.","Sim.","Não.","Não.","Não tive aulas dessa matéria.","Uma forma de me distrair e aliviar da rotina cotidiana.","Um pouco importante.","Sim.","Sim.",""
"2021/04/29 9:06:21 AM GMT-3","22 a 29.","Masculino.","Superior completo.","Sim.","Sim.","Sim.","Sim.","Uma forma de me distrair e aliviar da rotina cotidiana.;Um canal através do qual posso conhecer a forma que outras pessoas enxergam o mundo.;Uma ferramenta política de denúncia ou protesto.","Sim, essencialmente importante.","Sim.","Sim.",""
"2021/04/29 9:09:00 AM GMT-3","30 a 39.","Masculino.","Superior incompleto.","Sim.","Não.","Não.","Não tive aulas dessa matéria.","Não me interesso por arte.","Sim, essencialmente importante.","Não.","Sim.",""
"2021/04/29 9:10:02 AM GMT-3","22 a 29.","Masculino.","Superior incompleto.","Sim.","Não.","Sim.","Não.","Uma forma de me distrair e aliviar da rotina cotidiana.;Um canal através do qual posso conhecer a forma que outras pessoas enxergam o mundo.;Introspecção e autoconhecimento.","Sim, essencialmente importante.","Sim.","Sim.",""
"2021/04/29 9:17:18 AM GMT-3","30 a 39.","Feminino.","Superior completo.","Sim.","Sim.","Não.","Não tive aulas dessa matéria.","Uma forma de me distrair e aliviar da rotina cotidiana.;Um canal através do qual posso conhecer a forma que outras pessoas enxergam o mundo.","Sim, essencialmente importante.","Sim.","Sim.",""
"2021/04/29 9:20:59 AM GMT-3","22 a 29.","Feminino.","Superior completo.","Sim.","Sim.","Não.","Não tive aulas dessa matéria.","Uma forma de me distrair e aliviar da rotina cotidiana.;Um canal através do qual posso conhecer a forma que outras pessoas enxergam o mundo.;Uma ferramenta política de denúncia ou protesto.","Sim, essencialmente importante.","Sim.","Sim.",""
"2021/04/29 9:21:09 AM GMT-3","30 a 39.","Masculino.","Superior incompleto.","Sim.","Sim.","Sim.","Sim.","Um canal através do qual posso conhecer a forma que outras pessoas enxergam o mundo.;Uma ferramenta política de denúncia ou protesto.;Introspecção e autoconhecimento.","Sim, essencialmente importante.","Sim.","Sim.",""
"2021/04/29 9:44:52 AM GMT-3","22 a 29.","Masculino.","Superior incompleto.","Sim.","Não.","Sim.","Não.","Não me interesso por arte.","Um pouco importante.","Sim.","Sim.",""
"2021/04/29 9:58:12 AM GMT-3","30 a 39.","Masculino.","Superior incompleto.","Sim.","Sim.","Sim.","Sim.","Não me interesso por arte.","Um pouco importante.","Sim.","Sim.",""
"2021/04/29 11:10:30 AM GMT-3","30 a 39.","Masculino.","Superior completo.","Sim.","Sim.","Sim.","Sim.","Introspecção e autoconhecimento.","Um pouco importante.","Sim.","Sim.",""
"2021/04/29 12:01:37 PM GMT-3","30 a 39.","Masculino.","Superior incompleto.","Sim.","Sim.","Sim.","Sim.","Um canal através do qual posso conhecer a forma que outras pessoas enxergam o mundo.","Sim, essencialmente importante.","Sim.","Sim.",""
"2021/04/29 1:03:09 PM GMT-3","30 a 39.","Masculino.","Superior incompleto.","Sim.","Não.","Não.","Não tive aulas dessa matéria.","Não me interesso por arte.","Sim, essencialmente importante.","Não.","Sim.",""
"2021/04/29 3:55:15 PM GMT-3","18 a 21.","Masculino.","Superior incompleto.","Não me lembro.","Não tive aulas dessa matéria.","Sim.","Sim.","Uma forma de me distrair e aliviar da rotina cotidiana.","Nem um pouco importante.","Sim.","Sim.",""
"2021/04/29 4:11:11 PM GMT-3","22 a 29.","Masculino.","Médio completo.","Sim.","Não.","Sim.","Não.","Não me interesso por arte.","Um pouco importante.","Sim.","Sim.",""
"2021/04/29 4:44:20 PM GMT-3","22 a 29.","Masculino.","Superior completo.","Sim.","Sim.","Sim.","Sim.","Uma forma de me distrair e aliviar da rotina cotidiana.;Uma ferramenta política de denúncia ou protesto.;Dar risada com os memes","Sim, essencialmente importante.","Sim.","Não.",""
